================================================
  NLOC    CCN   token  PARAM  length  location  
------------------------------------------------
      16      4     88      1      16 tool_mime_free@161-176@src/tool_formparse.c
      31      8    187      4      35 tool_mime_stdin_read@180-214@src/tool_formparse.c
      20      6    104      3      21 tool_mime_stdin_seek@216-236@src/tool_formparse.c
      60     23    337      3      67 tool2curlparts@240-306@src/tool_formparse.c
      14      3     75      3      15 tool2curlmime@308-322@src/tool_formparse.c
      51     21    280      4      58 get_param_word@329-386@src/tool_formparse.c
       8      2     44      2      10 slist_append@389-398@src/tool_formparse.c
      55     18    281      4      60 read_field_headers@401-460@src/tool_formparse.c
     171     62   1057      8     197 get_param_part@462-658@src/tool_formparse.c
     155     34    849      5     191 formparse@717-907@src/tool_formparse.c
      10      5     63      1      10 main_checkfds@92-101@src/tool_main.c
      21      7    129      1      27 memory_tracking_init@107-133@src/tool_main.c
      32      5    158      1      45 main_init@143-187@src/tool_main.c
       8      3     46      1      10 free_globalconfig@189-198@src/tool_main.c
       8      1     37      1      12 main_free@204-215@src/tool_main.c
      33     12    216      2      61 main@228-288@src/tool_main.c
      24      4    163      3      32 getpass_r@62-93@src/tool_getpass.c
      19      7    129      3      25 getpass_r@99-123@src/tool_getpass.c
      22      7    120      2      37 ttyecho@137-173@src/tool_getpass.c
      24      5    129      3      30 getpass_r@175-204@src/tool_getpass.c
      16      1     95      1      17 config_init@32-48@src/tool_cfgable.c
     111      2    744      1     129 free_config_fields@50-178@src/tool_cfgable.c
      10      2     45      1      14 config_free@180-193@src/tool_cfgable.c
      90     35    515      3     123 sanitize_file_name@113-235@src/tool_doswin.c
      22     11    126      2      30 truncate_dryrun@263-292@src/tool_doswin.c
     109     47    692      3     132 msdosify@313-444@src/tool_doswin.c
      83     42    606      3     126 rename_if_reserved_dos_device_name@460-585@src/tool_doswin.c
       5      1     20      1       5 __crt0_glob_function@592-596@src/tool_doswin.c
      23      6    131      3      34 FindWin32CACert@617-650@src/tool_doswin.c
      36     10    210      1      49 GetLoadedModulePaths@656-704@src/tool_doswin.c
       5      2     32      1       5 restore_terminal@717-721@src/tool_doswin.c
       6      3     24      1       6 signal_handler@726-731@src/tool_doswin.c
      22      6    125      1      30 init_terminal@733-762@src/tool_doswin.c
      11      2     43      1      16 win32_init@767-782@src/tool_doswin.c
      14      6     38      1      17 is_fatal_error@116-132@src/tool_operate.c
       9      2     31      1       9 is_pkcs11_uri@137-145@src/tool_operate.c
